PT	AU	BA	CA	GP	RI	OI	BE	Z2	AU	AA	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	VN	VH	DI	D2	L1	L2	L3	EA	SU	DT	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	G1	NR	CR	LA	AS	AC	CG	DG	C1	C3	EC	DE	DA	UT	PM	
C	Hassan, Syed Ibrahim; O'sullivan, Dympna; Mckeever, Susan; Power, David; Mcgowan, Ray; Feighan, Kieran				Hassan, Saif/AAO-6969-2020; Power, David/JFK-1396-2023		Farinella, GM; Radeva, P; Bouatouch, K				Detecting Patches on Road Pavement Images Acquired with 3D Laser Sensors using Object Detection and Deep Learning								PROCEEDINGS OF THE 17TH INTERNATIONAL JOINT CONFERENCE ON COMPUTER VISION, IMAGING AND COMPUTER GRAPHICS THEORY AND APPLICATIONS (VISAPP), VOL 5		VISIGRAPP						413	420				10.5220/0010830000003124							Proceedings Paper	2022	2022	Regular pavement inspections are key to good road maintenance and detecting road defects. Advanced pavement inspection systems such as LCMS (Laser Crack Measurement System) can automatically detect the presence of simple defects (e.g. ruts) using 3D lasers. However, such systems still require manual involvement to complete the detection of more complex pavement defects (e.g. patches). This paper proposes an automatic patch detection system using object detection techniques. To our knowledge, this is the first time state-of-the-art object detection models (Faster RCNN, and SSD MobileNet-V2) have been used to detect patches inside images acquired by 3D profiling sensors. Results show that the object detection model can successfully detect patches inside such images and suggest that our proposed approach could be integrated into the existing pavement inspection systems. The contribution of this paper are (1) an automatic pavement patch detection model for images acquired by 3D profiling sensors and (2) comparative analysis of RCNN, and SSD MobileNet-V2 models for automatic patch detection.					17th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications (VISIGRAPP) / 17th International Conference on Computer Vision Theory and Applications (VISAPP)17th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications (VISIGRAPP) / 17th International Conference on Computer Vision Theory and Applications (VISAPP)	FEB 06-08, 2022FEB 06-08, 2022		ELECTR NETWORKELECTR NETWORK	11	0	0	0	0	0	11			2184-4321		978-989-758-555-5									Technol Univ, Dept Comp Sci, Dublin, IrelandPavement Management Serv Ltd, Galway, Ireland	Technol UnivPavement Management Serv Ltd			2022-04-22	WOS:000777505000041		
J	Lin, Yu-Chen; Chen, Wen-Hui; Kuo, Cheng-Hsuan					Lin, Yu-Chen/0000-0002-6735-0473					Implementation of Pavement Defect Detection System on Edge Computing Platform								APPLIED SCIENCES-BASEL				11	8					3725			10.3390/app11083725							Article	APR 2021	2021	Road surfaces in Taiwan, as well as other developed countries, often experience structural failures, such as patches, bumps, longitudinal and lateral cracking, and potholes, which cause discomfort and pose direct safety risks to motorists. To minimize damage to vehicles from pavement defects or provide the corresponding comfortable ride promotion strategy later, in this study, we developed a pavement defect detection system using a deep learning perception scheme for implementation on Xilinx Edge AI platforms. To increase the detection distance and accuracy of pavement defects, two cameras with different fields of view, at 70 degrees and 30 degrees, respectively, were used to capture the front views of a car, and then the YOLOv3 (you only look once, version 3) model was employed to recognize the pavement defects, such as potholes, cracks, manhole covers, patches, and bumps. In addition, to promote continuous pavement defect recognition rate, a tracking-via-detection strategy was employed, which first detects pavement defects in each frame and then associates them to different frames using the Kalman filter method. Thus, the average detection accuracy of the pothole category could reach 71%, and the miss rate was about 29%. To confirm the effectiveness of the proposed detection strategy, experiments were conducted on an established Taiwan pavement defect image dataset (TPDID), which is the first dataset for Taiwan pavement defects. Moreover, different AI methods were used to detect the pavement defects for quantitative comparative analysis. Finally, a field-programmable gate-array-based edge computing platform was used as an embedded system to implement the proposed YOLOv3-based pavement defect detection system; the execution speed reached 27.8 FPS while maintaining the accuracy of the original system model.									15	0	0	0	0	0	17				2076-3417										Feng Chia Univ, Dept Automat Control Engn, Taichung 40724, TaiwanNatl Taipei Univ Technol, Grad Inst Automat Technol, Taipei 106344, Taiwan				2021-05-24	WOS:000644012400001		
B	Christodoulou, Symeon E.; Kyriakou, Charalambos; Hadjidemetriou, George				Hadjidemetriou, Georgios/AAK-3980-2020	Hadjidemetriou, Georgios M./0000-0002-6368-7976	Antoniou, C; Dimitriou, L; Pereira, F				Pavement Patch Defects Detection and Classification Using Smartphones, Vibration Signals and Video Images								MOBILITY PATTERNS, BIG DATA AND TRANSPORT ANALYTICS: TOOLS AND APPLICATIONS FOR MODELING								365	380				10.1016/B978-0-12-812970-8.00014-2							Article; Book Chapter	2019	2019										9	0	0	0	0	0	9					978-0-12-812971-5; 978-0-12-812970-8									Univ Cyprus, Dept Civil & Environm Engn, Nicosia, Cyprus				2019-11-12	WOS:000488579000014		
J	Cui, Peng; Bidzikrillah, Nurjihan Ala; Xu, Jiancong; Qin, Yazhou				Xu, Jiancong/GQA-9352-2022	Qin, Yazhou/0000-0001-6190-6867; XU, JIANCONG/0000-0002-0240-8750					Application of the Semi-Supervised Learning Approach for Pavement Defect Detection								SENSORS				24	18					6130			10.3390/s24186130							Article	SEP 2024	2024	Road surface quality is essential for driver comfort and safety, making it crucial to monitor pavement conditions and detect defects in real time. However, the diversity of defects and the complexity of ambient conditions make it challenging to develop an effective and robust classification and detection algorithm. In this study, we adopted a semi-supervised learning approach to train ResNet-18 for image feature retrieval and then classification and detection of pavement defects. The resulting feature embedding vectors from image patches were retrieved, concatenated, and randomly sampled to model a multivariate normal distribution based on the only one-class training pavement image dataset. The calibration pavement image dataset was used to determine the defect score threshold based on the receiver operating characteristic curve, with the Mahalanobis distance employed as a metric to evaluate differences between normal and defect pavement images. Finally, a heatmap derived from the defect score map for the testing dataset was overlaid on the original pavement images to provide insight into the network's decisions and guide measures to improve its performance. The results demonstrate that the model's classification accuracy improved from 0.868 to 0.887 using the expanded and augmented pavement image data based on the analysis of heatmaps.									2	0	0	0	0	0	2				1424-8220										Nantong Univ, Sch Transportat & Civil Engn, Nantong 226019, Peoples R ChinaEastern Route South to North Water Divers Project, Jiangsu Water Source Co Ltd, Nanjing 210018, Peoples R ChinaTongji Univ, Coll Civil Engn, Shanghai 200092, Peoples R China	Eastern Route South to North Water Divers Project			2024-10-07	WOS:001323761700001	39338875	
J	Radopoulou, Stefania C.; Brilakis, Ioannis				Brilakis, Ioannis/H-5369-2013	Brilakis, Ioannis/0000-0003-1829-2083; Radopoulou, Stefania-Christina/0000-0001-7018-822X					Patch detection for pavement assessment								AUTOMATION IN CONSTRUCTION				53				95	104				10.1016/j.autcon.2015.03.010							Article	MAY 2015	2015	Pavement management systems rely on comprehensive up-to-date road condition data to provide effective decision support for short, medium and long term maintenance scheduling. However, the cost per mile of the existing condition data collection methods allows only for periodical surveys. This leads to long gaps between inspections and a focus on major roads over rural ones. Therefore, pavement condition monitoring systems that provide inexpensive frequent updates on the road condition are necessary. Such systems would require robust and automatic defect detection methods using low-cost sensors. In this paper, one such method is proposed for detecting road patches from video data acquired by the car's parking camera. A patch is initially detected based on its visual characteristics, which are: 1) it consists of a closed contour and 2) its texture is the same with the surrounding intact pavement. The patch is then passed to a kernel tracker in order to trace it in subsequent video frames. This way redetection is avoided and each patch is reported only once. The method was implemented in a C# prototype and tested with video data consisting of approximately 4000 frames collected from roads in Cambridge, UK. The results show that the suggested method has 84% precision and 96% recall. (C) 2015 Elsevier B.V. All rights reserved.									66	0	0	0	1	1	70			0926-5805	1872-7891										Univ Cambridge, Dept Engn, Div Civil Engn, Cambridge CB2 1PZ, EnglandUniv Cambridge, Dept Engn, Cambridge CB2 1PZ, England				2015-05-01	WOS:000353848400009		
C	Christodoulou, Symeon E.; Hadjidemetriou, Georgios M.; Kyriakou, Charalambos				Hadjidemetriou, Georgios/AAK-3980-2020	Hadjidemetriou, Georgios M./0000-0002-6368-7976	Smith, IFC; Domer, B				Pavement Defects Detection and Classification Using Smartphone-Based Vibration and Video Signals								ADVANCED COMPUTING STRATEGIES FOR ENGINEERING, PT I		Lecture Notes in Computer Science		10863				125	138				10.1007/978-3-319-91635-4_7							Proceedings Paper	2018	2018	Presented herein is a big-data driven methodology for the detection of roadway anomalies, utilizing smartphone-based data and image signal streams. The methodology uses a vibration-based method and artificial intelligence for the detection of vibration-inducing anomalies, and a vision-based method with entropic texture segmentation filters and support vector machine ( SVM) classification for the detection of patch defects on roadway pavements. The presented system pre-processes video streams for the identification of video frames of changes in image-entropy values, isolates these frames and performs texture segmentation to identify pixel areas of significant changes in entropy values, and then classifies and quantifies these areas using SVMs. The developed SVM is trained and tested by feature vectors generated from the image histogram and two texture descriptors of non-overlapped square blocks, which constitute images that includes "patch'' and "no-patch'' areas. The outcome is composed of block-based and image-based classification, as well as of measurements of the patch area.					25th Workshop of the European-Group-for-Intelligent-Computing-in-Engineering (EG-ICE)25th Workshop of the European-Group-for-Intelligent-Computing-in-Engineering (EG-ICE)	JUN 10-13, 2018JUN 10-13, 2018	European Grp Intelligent Comp EngnEuropean Grp Intelligent Comp Engn	Lausanne, SWITZERLANDLausanne, SWITZERLAND	6	1	0	0	0	0	6			0302-9743	1611-3349	978-3-319-91635-4; 978-3-319-91634-7									Univ Cyprus, Dept Civil & Environm Engn, Nicosia, Cyprus				2019-09-11	WOS:000482715500007		
C	Hadjidemetriou, G. M.; Christodoulou, S. E.				Hadjidemetriou, Georgios/AAK-3980-2020	Hadjidemetriou, Georgios M./0000-0002-6368-7976	Christodoulou, SE; Scherer, R				Patch defects detection for pavement assessment, using smartphones and support vector machines								EWORK AND EBUSINESS IN ARCHITECTURE, ENGINEERING AND CONSTRUCTION								597	604											Proceedings Paper	2016	2016	The condition evaluation of roadway transport networks is conducted to provide decision support for appropriate maintenance activities, preventing the possibility of detrimental effects. The costly, time-consuming and subjective current pavement assessment methods lead to the requirement for automation of the underlying process. Presented herein is an automated methodology for pavement patches detection; a process which is crucial for pavement surface evaluation and rating. Support Vector Machine (SVM) Classification is utilized, whilst the possibility of collecting pavement frames from smart-phones, positioned insides of cars is examined. The SVM is trained and tested by feature vectors generated from the histogram and two texture descriptors of non-overlapped square blocks, which constitute an image. The outcome is the indication of the frames that include patches and the image blocks which are characterized as parts of patches.					11th European Conference on Product and Process Modelling (ECPPM)11th European Conference on Product and Process Modelling (ECPPM)	SEP 07-09, 2016SEP 07-09, 2016		Limassol, CYPRUSLimassol, CYPRUS	2	0	0	0	0	0	2					978-1-315-38690-4									Univ Cyprus, Nicosia, Cyprus				2017-07-17	WOS:000404459600074		
P	TOTH A Z										Pothole patching apparatus for road surface mending of defects e.g. potholes in pavement, has cutting surface formed in asphalt layer around pothole and is directed obliquely under predetermined angle to vertical surface					HU201200316-A1	TOTH A Z																																								0																		2025-03-20	DIIDW:2014B58770		
P	ERMILOV A A										Road patching method is that the defective            pavement area is milled, cleaned from dust and            ground					RU2536517-C1	ERMILOV A A																									NOVELTY - Invention relates to road construction, namely, to patching of asphalt concrete pavements. A method for patching roads is that the defective pavement area is milled, cleaned from dust and ground, treated with bitumen emulsion, after which the mixture is placed and rolled. The asphalt mix is placed in the pothole with arrangement of a small conical mound near the edge of the arranged pavement, before the drum of the road roller, with account to the pressing-out of the road material towards the edges of the pad when the roller runs over the mixture, and for compacting the asphalt mix a compact vibratory roller is used in the dynamic operation mode; the final stage of compaction process is the use of plate compactors for additional compacting of the borders of the repair area after the vibratory roller. USE - Construction. ADVANTAGE - Improvement of uniformity of the compacted pavement, improvement of strength and durability.1 dwg															0																		2025-03-20	DIIDW:201500112A		
J	Radopoulou, Stefania C.; Brilakis, Ioannis				Brilakis, Ioannis/H-5369-2013	Brilakis, Ioannis/0000-0003-1829-2083; Radopoulou, Stefania-Christina/0000-0001-7018-822X					Automated Detection of Multiple Pavement Defects								JOURNAL OF COMPUTING IN CIVIL ENGINEERING				31	2					04016057			10.1061/(ASCE)CP.1943-5487.0000623							Review	MAR 2017	2017	Knowing the pavement condition is essential for efficiently deciding on maintenance programs. Current practice is predominantly manual with only 0.4% of inspections happening automatically. All methods in the literature aiming at automating condition assessment focus on two defects at most, or are too expensive for practical application. In this paper, the authors propose a low-cost method that automatically detects pavement defects simultaneously using parking camera video data. The types of defects addressed in this paper are two types of cracks (longitudinal and transverse), patches, and potholes. The method uses the semantic texton forests (STFs) algorithm as a supervised classifier on a calibrated region of interest (myROI), which is the area of the video frame depicting only the usable part of the pavement lane. It is validated using data collected from the local streets of Cambridge, U.K. Based on the results of multiple experiments, the overall accuracy of the method is above 82%, with a precision of more than 91% for longitudinal cracks, more than 81% for transverse cracks, more than 88% for patches, and more than 76% for potholes. The duration for training and classifying spans from 25 to 150min, depending on the number of video frames used for each experiment. The contribution of this paper is dual: (1)an automated method for detecting several pavement defects at the same time, and (2)a method for calculating the region of interest within a video frame considering pavement manual guidelines. (C) 2016 American Society of Civil Engineers.									77	0	0	0	0	0	77			0887-3801	1943-5487										Univ Cambridge, Dept Engn, Div Civil Engn, ISG 62,Trumpington St, Cambridge CB2 1PZ, EnglandUniv Cambridge, Dept Engn, Construct Engn, BC2-07,Trumpington St, Cambridge CB2 1PZ, England				2017-04-12	WOS:000395521200008		
